,Name,lat,lon
276,Ukuku,-33.4209407,-70.5982405
291,El Festín,-33.418816,-70.602588
311,El Crutón,-33.4191952,-70.59814609999999
313,Papa John's El Bosque,-33.4196959,-70.6000859
342,NUTRIMENTO S.A,-33.42217979999999,-70.6010421
348,Restaurant Oriental,-33.436389,-70.598906
349,Sabores del Ají Seco,-33.4368525,-70.60009149999999
352,Romaní restaurante & pizzería,-33.4286384,-70.625967
353,Oro y Carbón Pizzería Artesanal,-33.4283253,-70.6251901
354,El Árbol Restaurant,-33.4315819,-70.6229192
355,RESTAURANT47RONIN,-33.4319098,-70.6238822
356,Jimbo's Australian Food,-33.4286844,-70.62576419999999
357,Zaatar Santiago,-33.4292185,-70.6283655
358,Juan y Medio,-33.4323213,-70.6240959
359,El Buen Sabor,-33.4301486,-70.62284029999999
360,Subway Huelén,-33.4312526,-70.62346389999999
361,Felipe Didier,-33.4284503,-70.62599639999999
362,Café de Lupita,-33.4282473,-70.62533739999999
363,Restaurant Lian Sing,-33.4290936,-70.62596019999999
364,Hornitos De Bellavista,-33.4286123,-70.6255512
365,Rey Toro,-33.430192,-70.62198699999999
366,Restaurant Peru Nuevo Milenio,-33.4309066,-70.6275576
367,Tendo Retro Bar,-33.4310056,-70.62210879999999
371,Arcano,-33.4337856,-70.6249957
372,Bon Café Restaurant,-33.434731,-70.627464
373,AFK Restobar,-33.4350367,-70.6275814
374,Bravo 951,-33.4338939,-70.6220309
376,Wahari Grill,-33.4353589,-70.627494
378,Bella calabria,-33.4352579,-70.62741670000001
379,El Zocalo Cocina Mexicana,-33.43526560000001,-70.6274356
383,Real Madrid,-33.433956,-70.6264936
392,Le Coin,-33.4348914,-70.6276867
393,Bar Restaurant Duo,-33.4348886,-70.6277233
394,Club 107,-33.4339766,-70.62501229999999
395,Cumbres Porteñas,-33.4350609,-70.6273762
405,Pizzeria Latinoamericana,-33.4398194,-70.6251056
406,Restaurante Lili Marleen,-33.4399947,-70.62281659999999
407,Cocina Brava,-33.4406586,-70.6278686
409,RunAway Sushi,-33.4396913,-70.625186
410,Parrilladas la Uruguaya,-33.4400533,-70.6271428
411,King's Cross Restaurant,-33.440375,-70.6226059
412,Rice & Roll Providencia,-33.440285,-70.62769449999999
417,Saint Germain,-33.4403503,-70.627349
418,la martina,-33.4384351,-70.6290015
423,Casaluz Restaurant,-33.4421844,-70.62645719999999
425,Matilda restaurante,-33.4416367,-70.6261214
428,Verde Sazón,-33.4426348,-70.626299
429,El Fogón de Momo,-33.4423333,-70.6270823
430,Kabecafé,-33.4414557,-70.62641499999999
431,Casa Oriental,-33.4415982,-70.6262866
433,Bushido Sushi Bar,-33.4421156,-70.6273832
434,Entre Tenedores,-33.4401505,-70.62722549999999
435,Eccolo Qua,-33.4408729,-70.6277851
436,Rincón de la Chaquito,-33.442312,-70.6281029
437,Restaurant Peruano,-33.4409502,-70.6245643
438,Sazón Perú,-33.4415278,-70.62554829999999
447,Ruca Bar,-33.4428215,-70.6268616
455,Pizzeria La Argentina,-33.4439959,-70.6257399
457,El Camino BBQ,-33.4441288,-70.62544369999999
461,Mi Piace Gourmet,-33.4415957,-70.62606959999999
462,El Pollo Bakan,-33.44159399999999,-70.62426099999999
463,"Tatsu, Sushi and Fusion Cuisine",-33.443738,-70.62329769999999
464,Sazón Perú,-33.4422187,-70.6273891
465,Latorre Pizza - Providence,-33.441801,-70.6268441
467,Malevo,-33.4423028,-70.6271082
468,Wings & Rings,-33.4439172,-70.62634989999999
472,Cocuy Restaurant,-33.4451525,-70.625316
479,Caribe Bar Restaurant,-33.4456565,-70.6249576
480,Sapiens. Comida Saludable.,-33.44568690000001,-70.6252011
482,Ciudadano Restaurant,-33.4461323,-70.6285693
484,Mistura Del Perú,-33.4459479,-70.62451369999999
485,Arvoleda,-33.445834,-70.624325
486,Ostras Azócar Suecia 428,-33.4406343,-70.62781819999999
496,Fábrica de Pizza,-33.445701,-70.62633
497,Costumbres Argentinas,-33.4453886,-70.62643980000001
498,Le Gate Vegan,-33.4469312,-70.6242149
499,Swad,-33.446607,-70.6251324
501,Cacao Crepes,-33.4472972,-70.6246668
502,In Pasta,-33.4466506,-70.62623309999999
503,Bar Badalu,-33.4461416,-70.625086
507,Lusitano,-33.4476546,-70.6254471
509,De Oriente Shawarma,-33.4468345,-70.6248349
510,Comida India Råm Sålaam,-33.4463962,-70.6255639
511,Coteto Restaurant - Ex Hoyo,-33.4462758,-70.6267368
512,Roberta,-33.4468278,-70.6260633
514,All Rice,-33.4469344,-70.6240143
515,Pollería El Sabrosón,-33.4462515,-70.6247584
516,Barracuda,-33.4459247,-70.6242766
517,Violeta Restaurant,-33.4479909,-70.62446439999999
518,Mariachi Loco,-33.4468672,-70.62421670000001
519,Chamos Bistro,-33.4469144,-70.624025
520,El Rey de la Paella,-33.4467938,-70.62432059999999
521,Hotel Maison Italia 1029,-33.4441938,-70.62591159999999
523,Stilo pizzas,-33.4460936,-70.62512079999999
524,Picoteo Bistro,-33.4458827,-70.6242153
527,La Tegualda,-33.447709,-70.62325179999999
536,Bar Italia,-33.4476264,-70.62485629999999
545,Los Artesanos Delivery,-33.4487991,-70.6267309
548,Bar la candelaria,-33.4481513,-70.62533630000001
552,Silvestre,-33.4482469,-70.6234022
553,Restaurant Sr Zapata,-33.448644,-70.6261069
555,Restaurant CAPPERI,-33.4479747,-70.62482949999999
556,Shakti en Chile,-33.44886,-70.62420519999999
557,El Merendero Venezolano,-33.4487667,-70.62333199999999
558,Llámame Charly´s,-33.4487938,-70.6267003
559,KIWICHA Cocina basada en plantas,-33.4486835,-70.62827109999999
561,Comedy,-33.448986,-70.627861
563,Canvas Cafe,-33.44868,-70.62826769999999
567,Mashawi,-33.4489978,-70.6245428
569,rocoto,-33.4466404,-70.6263854
570,Los Panas,-33.4488641,-70.62447470000001
571,Trabajo amor,-33.4478549,-70.6247805
572,Menta & Romero,-33.4466275,-70.6249066
573,Lazy Vegan,-33.4494097,-70.6249644
574,Vegan Bunker,-33.4476154,-70.6232574
575,Café Survenir,-33.4482329,-70.6247494
576,Torano Restoran,-33.446974,-70.625985
578,Rubik Restobar,-33.4473456,-70.6285836
579,Comida Venezolana,-33.4462151,-70.62443039999999
580,One Pizza & Beer,-33.4499173,-70.62514969999999
581,1289 Bar & Restaurant,-33.4466739,-70.62608039999999
582,Tio Manolo,-33.4466976,-70.6279558
583,IL Montrone,-33.4457292,-70.6262955
584,Restaurant Xin Fung,-33.4467108,-70.62861909999999
598,Foodie Pizza,-33.4499673,-70.624157
601,Isabella Pizzas Ricas,-33.44858809999999,-70.6267265
602,Benditopaladar Fabrica De Pastas Artesanales,-33.4485651,-70.6256528
605,Vedrá Restaurante,-33.4503056,-70.6250237
614,Fuente Las Mechadas,-33.4497316,-70.6254733
618,El Gusto Peruano,-33.4504916,-70.6240844
619,Stilo restaurante,-33.4489978,-70.6245428
624,Ristorante y Trattoria Da Noi,-33.450798,-70.62395479999999
625,Pepikam Comida tradicional criolla,-33.4507782,-70.6241496
626,Santa Bohemia,-33.4482995,-70.62470039999999
627,Las Mechadas,-33.4497022,-70.6254553
631,WAOH! Q'Pizza,-33.4487991,-70.6267309
635,Restaurant vegano,-33.4476145,-70.62323499999999
636,gusto peruano,-33.4505224,-70.62405
640,Usuba Sushi,-33.4489719,-70.62668290000001
642,Bar Bulnes Santiago,-33.448497,-70.624347
644,Vista Santiago Restaurante,-33.41481720000001,-70.6213396
645,Subway Santa María,-33.422784,-70.62143399999999
646,Mentally,-33.4229052,-70.62145629999999
647,Suteki,-33.423018,-70.6219337
651,La Cuisine,-33.4264507,-70.6200714
655,Sweetfran Tienda,-33.4277778,-70.62111109999999
656,VegeChef Montt,-33.4278371,-70.6201226
658,Casa Garla,-33.426755,-70.6194854
660,Restaurant Chen Chen,-33.4269306,-70.619666
666,Normandie Restaurant,-33.429051,-70.620947
668,La Buena Mesa,-33.4285889,-70.6203685
670,Central Pizza Estación Manuel Montt,-33.42916,-70.62128389999999
671,Fork Manuel Montt,-33.4287446,-70.6204692
673,Soho Cafe,-33.4280758,-70.6207723
676,Vainilla Coffee,-33.4294547,-70.622552
683,FoodGol,-33.4298203,-70.6220256
688,Hafu Sushi & Beer,-33.4308637,-70.6215744
696,La Tegualda Sangucheria,-33.4307352,-70.6225858
699,Cafetería Sathiri,-33.4308664,-70.62227949999999
700,Mimisushi,-33.4310056,-70.62210879999999
710,Puerto Pirata,-33.4312312,-70.62223039999999
713,La Plaza,-33.4316098,-70.6235294
716,Restaurant Monic,-33.4304316,-70.62187609999999
717,Los Primos,-33.4306162,-70.62266369999999
718,El Búfalo Restaurant,-33.4299695,-70.6221937
719,Restaurant Jorge E. Diaz Montero E.I.R.L.,-33.4299706,-70.6221896
722,The Shamrock Bar & Restaurant,-33.4297681,-70.62270239999999
725,La gloria Sangucheria peruana,-33.4288659,-70.61995329999999
731,La Antojería,-33.4339129,-70.6205832
732,Restaurant Tel Ford,-33.4325944,-70.6236255
739,Restaurante Morroqui,-33.4322684,-70.62250589999999
742,Restaurante Bravo,-33.4338939,-70.6220309
750,Oreja de Palo,-33.4357794,-70.6205332
752,Restaurante El cruce,-33.4361603,-70.6224294
754,Ostras Calbuco,-33.43897949999999,-70.62009370000001
758,Danny´s New York Style Pizza,-33.4396102,-70.6206586
763,Restaurant He Hin,-33.4402054,-70.62123029999999
764,Subway Rancagua,-33.439505,-70.62277259999999
765,Puerto Calbuco,-33.4402294,-70.62104859999999
769,Rincon Venezolano en Chile,-33.4400752,-70.6206912
778,Bar La Providencia,-33.4400607,-70.62060079999999
784,Cam Xiong Restaurant,-33.4402808,-70.6211363
785,OKANE - SAKIN SUSHI,-33.4394889,-70.6209642
825,Gud Land,-33.4437495,-70.6232942
842,La Sopería,-33.447349,-70.6241435
876,Gao Ming,-33.4461616,-70.62440359999999
890,The Chilean,-33.4479921,-70.6245766
913,KOYA SUSHI,-33.4474965,-70.6225391
925,El Ancla Providencia,-33.4260094,-70.6186586
926,Chicken International Restaurant,-33.4257806,-70.61869280000001
931,El Garaje de la Chanchita,-33.427229,-70.6192233
932,Pachakama,-33.4270337,-70.618685
936,Cairo Cocina,-33.4273622,-70.6190027
937,El Fogón de Providencia,-33.426179,-70.620092
939,La Bodeguita de Fernando,-33.4283263,-70.6183645
941,Suburbia Restobar,-33.4269311,-70.6187936
942,Unimo,-33.4259351,-70.6209539
944,Bendito Restaurante,-33.42785,-70.6193531
949,Liguria,-33.42849959999999,-70.6191305
959,Niu Sushi,-33.4293221,-70.6189377
960,Sierra Restaurante,-33.4289124,-70.6173902
961,Hocha,-33.4290733,-70.61884449999999
966,Restaurant La Esquina,-33.428083,-70.6212573
967,le fournil,-33.4290002,-70.61950299999999
972,Gopal,-33.4281193,-70.62009209999999
973,La Mechada Nacional,-33.4288183,-70.619218
974,Mercado de Providencia,-33.4258761,-70.6184839
975,Papa Johns Pizza,-33.4285689,-70.6189258
986,Restaurant Meze,-33.4310037,-70.6187616
987,Restaurant Royal,-33.4305892,-70.6190788
991,Domino's Pizza,-33.4291455,-70.62027019999999
992,Domani - Pizzeria & Bar,-33.4310108,-70.6184495
996,Santiago Shawarma,-33.4304422,-70.61922559999999
1002,Martuca | Fuente de Soda,-33.4310957,-70.61871119999999
1003,Padthai,-33.4308241,-70.6191463
1009,Barandiaran,-33.4314599,-70.6187116
1012,TEPUY RESTOBAR,-33.4304979,-70.6193567
1014,Restaurant La Parrilla del Chef,-33.4306222,-70.61911449999999
1017,le pub 36 y medio centro de eventos,-33.4283834,-70.61835649999999
1021,Fiddlers Irish Bar,-33.4288329,-70.61966290000001
1023,Pacto,-33.4311212,-70.6186326
1026,Barbazul Manuel Montt,-33.4318581,-70.6180878
1028,Ramblas Bar,-33.4317627,-70.6182022
1030,Café Del Autor,-33.4315547,-70.61845149999999
1031,Subway,-33.4281069,-70.6181292
1045,Bavaria,-33.4299193,-70.61936039999999
1062,Santo Remedio,-33.4315936,-70.6215703
1063,La Gohaneria,-33.4309088,-70.62168339999999
1076,Maskepan,-33.4319822,-70.6180822
1079,La Morocha. Sanguchería Peruana,-33.432367,-70.61787
1081,Telepizza Providencia,-33.430195,-70.62216599999999
1102,Sabores De Hogar Restaurant,-33.4320325,-70.6204477
1133,Restaurant LiRi (Li&Ri),-33.4401392,-70.6195867
1134,Somos Perú Buffet,-33.4398393,-70.6193344
1139,Los Tesoros del Inca,-33.4400049,-70.61929239999999
1146,"Comida Árabe ""Rincón Paisano""",-33.4396573,-70.6204793
1151,Donde Landeo,-33.4406738,-70.62081140000001
1159,La oficina,-33.4404087,-70.6213655
1161,La Pequeña Habana,-33.4404117,-70.6208546
1176,Café Palermo,-33.4440191,-70.61965649999999
1183,Nikkey Sushi,-33.4451419,-70.61928
1187,Mistura Del Perú,-33.4447768,-70.6194622
1222,Divertimento Chileno,-33.4145645,-70.6167514
1227,Carrousel,-33.4196079,-70.6162573
1231,Aquí Está Coco,-33.4241967,-70.6167648
1237,Ensaladería Holm,-33.4254983,-70.6164442
1239,Donde Guido,-33.4249649,-70.61569969999999
1240,SanGuCadoS,-33.425106,-70.6154861
1261,Papelón Sabroso,-33.4271889,-70.6155334
1262,Restaurant Il Bosco,-33.4252399,-70.6185115
1263,Zomato Chile HQ,-33.4238868,-70.6163277
1265,Restaurante Lu Yin,-33.4273799,-70.6154391
1266,Season’s Resto bar,-33.4238054,-70.6164699
1267,IN HOUSE GOURMET,-33.4258464,-70.6189016
1273,Insert Coin Bar - Providencia,-33.4273262,-70.61799619999999
1290,Bravissimo,-33.4279785,-70.6187362
1292,Aji Amarillo,-33.4288316,-70.61723309999999
1294,Schopdog,-33.4281091,-70.61905969999999
1297,Restaurante y Bar Jose Farina Manetti E.I.R.L.,-33.4274198,-70.6180126
1299,El Yaque,-33.4270752,-70.6183523
1302,Papipollo,-33.4276936,-70.6168706
1308,Empanadas Tinita,-33.4265645,-70.6170741
1309,Shawarmas - Hamule Cocina y Tradición,-33.4281221,-70.6189789
1310,Don' Di Chelo,-33.4261524,-70.6185917
1311,Apetito,-33.4281221,-70.6189789
1314,Shawarma,-33.427957,-70.61847809999999
1315,Mitani Ramen,-33.427828,-70.6186792
1316,Newen,-33.4277012,-70.6196339
1318,Ato Sushi,-33.4278209,-70.6168038
1327,DONY DONER,-33.4280501,-70.6180636
1359,CHACHAN,-33.4311435,-70.61578589999999
1365,Restaurant bavaria Santiago providencia,-33.4296443,-70.61955619999999
1377,Maskepan Av. Providencia,-33.4288565,-70.6180818
1406,La Mafia Pizzería,-33.43059,-70.61926699999999
1410,Sabe,-33.4302533,-70.6183161
1413,Tepuy,-33.43045840000001,-70.6190489
1416,Sliders Hamburguesas,-33.4317243,-70.6184081
1429,SUBWAY,-33.43232080000001,-70.6182417
1432,La Casona del Ajiseco,-33.4340695,-70.61681969999999
1434,Huascaran Restaurant,-33.4350524,-70.6170307
1435,Bar Porfirio,-33.4346039,-70.6168916
1437,La Yunta (Ex Capicúa),-33.4349707,-70.6163277
1440,Café Harry Potter,-33.4328933,-70.61745979999999
1442,Central China Express,-33.435122,-70.61664859999999
1444,Hand Roll,-33.4352675,-70.61624119999999
1450,Italia Mia Trattoria - Pizzeria,-33.4355644,-70.61905410000001
1451,Quimbayá Café,-33.4352063,-70.6194807
1453,Son Cuba,-33.434782,-70.61677299999999
1458,Jewel Of India,-33.437254,-70.6161336
1467,Eliodoro Terraza Networking,-33.4336203,-70.6200631
1470,Restaurante brasileiro Malandros,-33.437286,-70.615892
1474,Fuente Caburga,-33.4352482,-70.61630049999999
1485,Restaurant Pez de Oro,-33.4376099,-70.61575759999999
1490,Restaurant El Real,-33.4377732,-70.6157479
1499,Machu Picchu,-33.439236,-70.61630260000001
1508,Sushiland Express Limitada,-33.4397844,-70.6172122
1512,Little Caesars Pizza,-33.4391876,-70.6160342
1515,Picantería Chicha En Ají,-33.4401952,-70.6155297
1518,Sushi Pez de Oro,-33.4376114,-70.6157585
1543,Ostras Calbuco,-33.4400487,-70.620514
1563,Carrer Nou,-33.4455205,-70.6168304
1564,Rawdical Kitchen,-33.4453176,-70.61634169999999
1575,Comida China,-33.4450737,-70.6193351
1576,Santelmo,-33.4449004,-70.6191132
1577,Sushi Jama,-33.4451696,-70.6193377
1581,Restaurant San Remo,-33.448751,-70.61618299999999
1583,Trattoria della Piazza,-33.4494257,-70.61670169999999
1584,Mr. Qiu Restaurante Gastronimia China,-33.4497865,-70.6185198
1587,"Restaurant 2661, una nueva historia.",-33.4164962,-70.61283109999999
1589,Pasta Pazza,-33.4175904,-70.6137554
1593,Fuente Chilena - Local Pedro de Valdivia,-33.4222769,-70.61347789999999
1594,Tres cuartos,-33.4208691,-70.61605609999999
1596,"Cafetería Instituto Français, Chile",-33.4228179,-70.61434849999999
1599,Zafferano (Solace Hotel),-33.4238783,-70.61435519999999
1602,Lomit's,-33.4237167,-70.61300559999999
1611,Peter's Restaurant (Pizzas And Grill),-33.4241931,-70.616232
1618,Mister Fish Providencia,-33.4264117,-70.614499
1619,Tavelli,-33.4251135,-70.6155308
1633,Piero's restaurante,-33.4268191,-70.6149982
1639,restaurant imperioCHICHI,-33.4249941,-70.6166276
1643,Con Limón y Sal Gourmet,-33.4268363,-70.6149293
1644,Super Delicious,-33.4249729,-70.61519149999999
1647,Restaurant Donde Felipe,-33.4271841,-70.6151869
1648,Pasión Peruana Providencia,-33.4267582,-70.6145626
1649,Torii Sushi,-33.42456500000001,-70.6159332
1650,Bluebird Restaurant,-33.4264585,-70.6159114
1653,La Pocha,-33.4247253,-70.61613919999999
1654,Restaurante Rico Y Rapido,-33.426548,-70.61479969999999
1659,Bella China,-33.4273442,-70.6157295
1664,Papelón Sabroso,-33.4271899,-70.61553929999999
1666,Crudo Sin Censura,-33.4270204,-70.6153314
1671,Station Burger,-33.4263734,-70.6161918
1680,Sensei Sushi Providencia,-33.427631,-70.617002
1685,Restaurante KC,-33.4268056,-70.6155576
1689,M&G Restaurant,-33.4266173,-70.61605949999999
1695,Apiádate De Mi,-33.4273828,-70.61551489999999
1696,Kirtan,-33.426813,-70.6164162
1699,Restaurante KC Humbo,-33.4268435,-70.6154906
1703,La Plaza,-33.4280709,-70.6166654
1765,La Muzza Pizzeria,-33.4307957,-70.61644749999999
1766,Oshuru Nikkei,-33.4300754,-70.61675959999999
1799,Sushi Río,-33.432781,-70.61648799999999
1800,Fuente Caburgua,-33.4335597,-70.6156325
1804,Relativo,-33.4349916,-70.61722779999999
1814,Porfirioscl,-33.4346593,-70.61675169999999
1827,Señor Burger,-33.4364441,-70.6159631
1834,Banthai,-33.43519819999999,-70.61629499999999
1843,Restaurant Excelencia China,-33.4359712,-70.6164228
1846,Restaurante Sushi Bar Delivery Sanguchería Peruana Manuel Montt NIKKEI SUSHI JAMA,-33.4364441,-70.6159631
1847,Nikkei Sushi,-33.4364441,-70.6159631
1857,Restaurante Gusto Vietnam,-33.4394867,-70.6151878
1863,El Emblematico,-33.4391647,-70.6156136
1866,Restaurant Muqueca,-33.4408391,-70.6149327
1874,"Restaurant ""Las Delicias""",-33.4391941,-70.61415459999999
1876,Prontosandwich,-33.4402925,-70.61554219999999
1894,Romamor,-33.4394345,-70.6132988
1896,Guria,-33.4425796,-70.6149451
1897,Dami’s Restaurant,-33.4401952,-70.6155297
1906,Vaquita Sabrosa Manuel Montt,-33.4428845,-70.61460389999999
1911,Punto Sabroso,-33.44297,-70.6145916
1915,La Casa Vieja,-33.4428042,-70.6149463
1919,Del Beto Restaurant,-33.4445598,-70.614165
1922,The Raj,-33.4447673,-70.6144754
1924,AUTANA FOOD & DRINKS,-33.4446269,-70.6145638
1933,Piuke Cocina Vegana,-33.4431883,-70.61750649999999
1935,El Chalán,-33.4425,-70.6144444
1938,Emporio Caramaño,-33.4452622,-70.61825499999999
1942,Indian Box - Comida India,-33.4469701,-70.6145133
1948,El Gran Huascaran,-33.4478233,-70.6137799
1949,Kleinknecht E Hija,-33.4453873,-70.61698439999999
1951,Pasapalos Restobar,-33.4467154,-70.61379020000001
1963,Entre Tongoy y Los Vilos,-33.447856,-70.61654399999999
1966,Comida China Xin Yi Dai,-33.4480226,-70.6136484
1967,Empanaderia San Luis,-33.4485109,-70.613692
1968,Puerto Pizarro Restaurant,-33.4477873,-70.6137014
1980,Maniero,-33.4203674,-70.61086639999999
1981,Ladera Restaurant (Hotel Ladera),-33.4190941,-70.6148798
1983,99 Restaurante,-33.4214478,-70.6113739
1984,Le Flaubert,-33.4221115,-70.61286179999999
1985,POLEN JUGOS Y SOPAS,-33.4221546,-70.61185829999999
1986,El Huerto,-33.4228099,-70.6125473
1988,De la Ostia,-33.4225803,-70.61237299999999
1991,Restaurante Formentera,-33.4218292,-70.61255650000001
1992,La Bifería,-33.4228744,-70.61288449999999
1995,Los Insaciables Providencia,-33.42203,-70.6112
1996,California Cantina,-33.4225,-70.6119444
1998,Tea Connection,-33.4224582,-70.6132362
2003,Vapiano Pedro de Valdivia,-33.4234915,-70.6128411
2009,Perpetuo,-33.4232821,-70.6126345
2012,Libanazo,-33.4240153,-70.61158259999999
2014,Katako veg,-33.4239993,-70.6114661
2015,La Pizza Nostra,-33.4241055,-70.61281450000001
2016,Liguria,-33.4243958,-70.61237439999999
2019,Villa Real,-33.4228067,-70.6129346
2020,Maderos Bar&Resto,-33.4242587,-70.6116272
2021,La Mechada Nacional,-33.42314229999999,-70.6129263
2022,Tokio Wok&Bol Santiago,-33.4241888,-70.6124571
